State,EV,Dem %,Rep %,Date,>9,5-9,<5,Tie,<5,5-9,>9,Poll-duration
State,EV,D,R,I,Date,D>9,D5-9,D<5,Tie,R<5,R5-9,R>9,Pollster-len
Alabama,9,36,55,,Apr 24,,,,,,,9,Capital Survey-9
Alaska,3,32,57,,Apr 07,,,,,,,3,Rasmussen-1
Arizona,10,37,53,,Apr 27,,,,,,,10,Arizona State U.-4
Arkansas,6,43,50,,Mar 18,,,,,,6,,Rasmussen-1
California,55,50,41,,Apr 16,,55,,,,,,Rasmu+Surve
Colorado,9,36,50,,Apr 16,,,,,,,9,Rasmussen-1
Connecticut,7,45,42,,Mar 24,,,7,,,,,Quinnipiac U.-6
D.C.,3,90,9,,Jan 01,3,,,,,,,Election 2004
Delaware,3,46,41,,Feb 28,,3,,,,,,SurveyUSA-3
Florida,27,43,44,,Apr 29,,,,,27,,,Quinnipiac U.-7
Georgia,15,34,54,,Mar 20,,,,,,,15,Rasmussen-1
Hawaii,4,43,39,,Feb 28,,,4,,,,,SurveyUSA-3
Idaho,4,27,63,,Feb 28,,,,,,,4,SurveyUSA-3
Illinois,21,48,37,,Feb 28,21,,,,,,,SurveyUSA-3
Indiana,11,44,49,,Apr 24,,,,,,11,,Resea+Selze
Iowa,7,43,42,,Apr 23,,,7,,,,,Research 2000-3
Kansas,6,36,57,,Apr 13,,,,,,,6,SurveyUSA-3
Kentucky,8,46,48,,Apr 13,,,,,8,,,SurveyUSA-3
Louisiana,9,36,58,,Apr 09,,,,,,,9,Rasmussen-1
Maine,4,47,42,,Apr 01,,4,,,,,,Rasmussen-1
Maryland,10,48,40,,Feb 28,,10,,,,,,Surve+Gonza
Massachusetts,12,55,36,,Apr 23,12,,,,,,,Rasmussen-1
Michigan,17,37,46,,Apr 08,,,,,,17,,EPIC-MRA-6
Minnesota,10,47,42,,Apr 22,,10,,,,,,Rasmussen-1
Mississippi,6,42,51,,Feb 28,,,,,,6,,SurveyUSA-3
Missouri,11,47,46,,Apr 13,,,11,,,,,SurveyUSA-3
Montana,3,36,54,,Apr 06,,,,,,,3,Rasmussen-1
Nebraska,5,30,57,,Feb 28,,,,,,,5,SurveyUSA-3
Nevada,5,38,49,,Apr 21,,,,,,,5,Rasmussen-1
New Hampshire,4,41,51,,Apr 30,,,,,,,4,Rasmussen-1
New Jersey,15,52,38,,Apr 28,15,,,,,,,Braun Research-5
New Mexico,5,45,48,,Apr 13,,,,,5,,,Surve+Rasmu
New York,31,60,31,,May 01,31,,,,,,,Rasmussen-1
North Carolina,15,40,51,,Apr 10,,,,,,,15,Rasmussen-1
North Dakota,3,33,53,,Apr 03,,,,,,,3,Dakota Wesleyan U.-11
Ohio,20,42,43,,Apr 29,,,,,20,,,Quinnipiac U.-7
Oklahoma,7,42,50,,Feb 28,,,,,,7,,SurveyUSA-3
Oregon,7,47,46,,Apr 13,,,7,,,,,SurveyUSA-3
Pennsylvania,21,47,40,,Apr 29,,21,,,,,,Quinn+Rasmu
Rhode Island,4,54,37,,Feb 28,4,,,,,,,SurveyUSA-3
South Carolina,8,42,48,,Feb 28,,,,,,8,,SurveyUSA-3
South Dakota,3,30,59,,Apr 03,,,,,,,3,Dakota Wesleyan U.-11
Tennessee,11,38,52,,Apr 03,,,,,,,11,Rasmussen-1
Texas,34,42,49,,Feb 28,,,,,,34,,SurveyUSA-3
Utah,5,27,65,,Feb 28,,,,,,,5,SurveyUSA-3
Vermont,3,49,39,,Feb 28,3,,,,,,,SurveyUSA-3
Virginia,13,39,55,,Apr 13,,,,,,,13,SurveyUSA-3
Washington,11,48,45,,Apr 16,,,11,,,,,SurveyUSA-3
West Virginia,5,47,42,,Feb 28,,5,,,,,,SurveyUSA-3
Wisconsin,10,47,43,,Apr 24,,,10,,,,,U. of Wisconsin-10
Wyoming,3,28,61,,Feb 28,,,,,,,3,SurveyUSA-3
,,,,,Sums,89,108,57,0,60,89,135
