State,EV,Dem %,Rep %,Date,>9,5-9,<5,Tie,<5,5-9,>9,Poll-duration
State,EV,Dem,GOP,,Date,>9,5-9,<5,Tie,<5,5-9,>9,Pollster
Alabama,9,36,51,,Aug 04,,,,,,,9,Capital S+Rasmussen
Alaska,3,39,44,,Jul 30,,,,,,3,,Rasmussen
Arizona,10,36,44,,Aug 16,,,,,,10,,Arizona S+Mason
Arkansas,6,37,47,,Jul 14,,,,,,,6,Rasmussen
California,55,51,37,,Aug 20,55,,,,,,,Rasmussen
Colorado,9,45,43,,Aug 26,,,9,,,,,Opinion R+Suffolk U
Connecticut,7,51,36,,Jul 31,7,,,,,,,Rasmussen
D.C.,3,90,9,,Jan 01,3,,,,,,,Election 2004
Delaware,3,50,41,,Feb 28,,3,,,,,,SurveyUSA
Florida,27,45,46,,Aug 26,,,,,27,,,Mason+Quinnipia+ARG
Georgia,15,43,50,,Aug 14,,,,,,15,,Rasmussen
Hawaii,4,61,31,,Feb 28,4,,,,,,,SurveyUSA
Idaho,4,37,53,,Jul 30,,,,,,,4,Research 2000
Illinois,21,53,38,,Aug 12,21,,,,,,,Rasmussen
Indiana,11,43,48,,Aug 21,,,,,,11,,Rasmussen+SurveyUSA
Iowa,7,48,42,,Aug 13,,7,,,,,,U. of Iow+Rasmussen
Kansas,6,35,58,,Aug 20,,,,,,,6,SurveyUSA
Kentucky,8,37,55,,Aug 11,,,,,,,8,SurveyUSA
Louisiana,9,38,55,,Aug 17,,,,,,,9,Rasmussen
Maine,4,49,36,,Aug 12,4,,,,,,,Rasmussen
Maryland,10,53,41,,Aug 18,10,,,,,,,Rasmussen
Massachusetts,12,49,37,,Aug 05,12,,,,,,,Rasmussen+Suffolk U
Michigan,17,45,40,,Aug 21,,17,,,,,,EPIC+Selzer
Minnesota,10,47,42,,Aug 14,,10,,,,,,SurveyUSA+Rasmussen+U. of Min
Mississippi,6,41,54,,Aug 21,,,,,,,6,Rasmussen
Missouri,11,41,48,,Aug 07,,,,,,11,,Rasmussen
Montana,3,44,45,,Jul 29,,,,,3,,,Rasmussen
Nebraska,5,32,50,,Jul 28,,,,,,,5,Rasmussen
Nevada,5,47,44,,Aug 26,,,5,,,,,Opinion R+Research 
New Hampshire,4,45,44,,Aug 19,,,4,,,,,Rasmussen+ARG
New Jersey,15,50,41,,Aug 10,,15,,,,,,Quinnipia+Rasmussen
New Mexico,5,50,41,,Aug 26,,5,,,,,,Opinion R+Rasmussen
New York,31,47,39,,Aug 14,,31,,,,,,Siena Coll.
North Carolina,15,43,46,,Aug 19,,,,,15,,,Insider A+Rasmussen
North Dakota,3,42,45,,Jul 23,,,,,3,,,Research 2000
Ohio,20,42,43,,Aug 24,,,,,20,,,Quinnipia+Rasmussen+Columbus 
Oklahoma,7,24,56,,Jul 23,,,,,,,7,Sooner Poll
Oregon,7,48,41,,Aug 07,,7,,,,,,Rasmussen+SurveyUSA
Pennsylvania,21,47,42,,Aug 26,,21,,,,,,Opinion R+Quinnipia+Rasmussen
Rhode Island,4,51,30,,Aug 20,4,,,,,,,Brown U.
South Carolina,8,40,53,,Jul 23,,,,,,,8,Research 2000
South Dakota,3,43,47,,Jul 09,,,,,3,,,Rasmussen
Tennessee,11,32,56,,Aug 20,,,,,,,11,Rasmussen
Texas,34,41,50,,Aug 21,,,,,,34,,Rasmussen
Utah,5,23,62,,Aug 15,,,,,,,5,Mason
Vermont,3,63,29,,Feb 28,3,,,,,,,SurveyUSA
Virginia,13,45,45,,Aug 12,,,,13,,,,Insider A+Rasmussen+SurveyUSA
Washington,11,52,42,,Aug 12,11,,,,,,,SurveyUSA+Rasmussen
West Virginia,5,37,45,,Jun 02,,,,,,5,,Rasmussen
Wisconsin,10,46,41,,Aug 05,,10,,,,,,Rasmussen+Wisconsin
Wyoming,3,25,62,,Aug 15,,,,,,,3,Mason
,,,,,Sums,134,126,18,13,71,89,87
