State,EV,Dem %,Rep %,Date,>9,5-9,<5,Tie,<5,5-9,>9,Poll-duration
Alabama,1,Primary on February 5,1. Obama (56%)<br>2. Clinton (42%)
Alaska,1,Caucus,February 5,1. Obama (74%)<br>2. Clinton (25%)
Arizona,2,Primary on February 5,Clinton (51%)<br>Obama (42%)
Arkansas,2,Primary on February 5,1. Clinton (69%)<br>2. Obama (27%)
California,2,Primary on February 5,1. Clinton (52%)<br>2. Obama (42%)
Colorado,1,Caucus on February 5,1. Obama (67%)<br>2. Clinton (32%)
Connecticut,1,Primary on February 5,1. Obama (51%)<br>2. Clinton (47%)
D.C.,1,Primary,February 12,1. Obama (75%)<br>2. Clinton (24%)
Delaware,1,Primary on February 5,1. Obama (53%)<br>2. Clinton (42%)
Florida,4,Primary on January 29,No delegates chosen<br>1. Hillary Clinton (50%)<br>2. Barack Obama (33%)<br>3. John Edwards (14%)
Georgia,1,Primary on February 5,1. Obama (66%)<br>2. Clinton (31%)
Hawaii,5,Caucus on February 19,No polls have been published
Idaho,1,Caucus on February 5,1. Obama (80%)<br>2. Clinton (17%)
Illinois,1,Primary on February 5,1. Obama (64%)<br>2. Clinton (33%)
Indiana,8,Primary on May 6,No polls have been published
Iowa,1,Caucus on January 3,1. Barack Obama (38%)<br>2. John Edwards (30%)<br>3. Hillary Clinton (29%)
Kansas,1,Caucus on February 5,1. Obama (74%)<br>2. Clinton (26%)
Kentucky,8,Primary on May 20,No polls have been published
Louisiana,1,Primary,February 9,1. Obama (57%)<br>2. Clinton (36%)
Maine,1,Caucus on February 10,1. Obama (59%)<br>2. Clinton (40%)
Maryland,1,Primary on February 12,1. Obama (59%)<br>2. Clinton (36%)
Massachusetts,2,Primary on February 5,1. Clinton (56%)<br>2. Obama (41%)
Michigan,4,Primary on January 15,No delegates chosen<br>1. Hillary Clinton (55%)<br>2. Uncommitted (40%)<br>3. Dennis Kucinich (4%)
Minnesota,1,Caucus on February 5,1. Obama (67%)<br>2. Clinton (32%)
Mississippi,6,Primary on March 11,No polls have been published
Missouri,1,Primary on February 5,1. Obama (49%)<br>2. Clinton (48%)
Montana,9,Primary on June 3,Most recent polls:,Dec 19: Clinton 29% Obama 17%
Nebraska,1,Caucus,February 9,1. Obama (68%), Clinton (32%)
Nevada,2,Caucus on January 19,1. Hillary Clinton (51%)<br>2. Barack Obama (46%)<br>3. John Edwards (4%)
New Hampshire,2,Primary on January 8,1. Hillary Clinton (39%)<br>2. Barack Obama (36%)<br>3. John Edwards (17%)
New Jersey,2,Primary on February 5,1. Clinton (54%)<br>2. Obama (44%)
New Mexico,2,Caucus on February 5,1. Clinton (51%)<br>2. Obama (49%)
New York,2,Primary on February 5,1. Clinton (57%)<br>2. Obama (40%)
North Carolina,8,Primary on May 6,Most recent polls:,Feb 11: Clinton 40% Obama 50%,Feb 06: Clinton 40% Obama 42%,Jan 14: Clinton 32% Obama 36%
North Dakota,1,Caucus,February 5,1. Obama (61%)<br>2. Clinton (37%)
Ohio,6,Primary on March 4,Most recent polls:,Feb 13: Clinton 51% Obama 37%,Feb 12: Clinton 55% Obama 34%,Feb 11: Clinton 56% Obama 39%
Oklahoma,2,Primary on February 5,1. Clinton (55%)<br>2. Obama (31%)
Oregon,8,Primary on May 20,Most recent polls:,Jan 29: Clinton 36% Obama 28%,Aug 15: Clinton 26% Obama 18%,Mar 13: Clinton 31% Obama 21%
Pennsylvania,7,Primary on April 22,Most recent polls:,Feb 12: Clinton 52% Obama 36%,Jan 14: Clinton 40% Obama 20%,Dec 03: Clinton 43% Obama 15%
Rhode Island,6,Primary on March 4,Most recent polls:,Feb 10: Clinton 36% Obama 28%,Sep 09: Clinton 35% Obama 16%
South Carolina,1,Primary on January 26,1. Barack Obama (55%)<br>2. Hillary Clinton (27%)<br>3. John Edwards (18%)
South Dakota,9,Primary on June 3,No polls have been published
Tennessee,2,Primary on February 5,1. Clinton (54%)<br>2. Obama (41%)
Texas,6,Hybrid on March 4,Most recent polls:,Feb 14: Clinton 54% Obama 38%,Feb 14: Clinton 48% Obama 41%,Feb 14: Clinton 42% Obama 48%
Utah,1,Primary on February 5,1. Obama (57%)<br>2. Clinton (39%)
Vermont,6,Primary on March 4,Most recent polls:,Oct 19: Clinton 47% Obama 15%
Virginia,1,Primary on February 12,1. Obama (64%)<br>2. Clinton (35%)
Washington,1,Caucus on February 9,1. Obama (68%)
West Virginia,8,Primary on May 13,Most recent polls:,Apr 02: Clinton 37% Obama 22%
West Virginia,8,Primary on May 13,Most recent polls:,Apr 02: Clinton 37% Obama 22%
Wisconsin,5,Primary on February 19,Most recent polls:,Feb 14: Clinton 42% Obama 47%,Feb 13: Clinton 43% Obama 47%,Feb 07: Clinton 50% Obama 41%
Wyoming,6,Primary on March 8,No polls have been published
