State,EV,D,R,I,Date,D>9,D5-9,D<5,Tie,R<5,R5-9,R>9,Pollster-len
Alabama,9,36,50,,Jun 26,,,,,,,9,Rasmu+Capit
Alaska,3,41,48,,Jul 17,,,,,,3,,Rasmu+Resea
Arizona,10,34,44,,Jun 25,,,,,,,10,Rasmu+Arizo
Arkansas,6,37,47,,Jul 14,,,,,,,6,Rasmussen-1
California,55,54,30,,Jul 14,55,,,,,,,Field Poll-7
Colorado,9,47,44,,Jul 21,,,9,,,,,Rasmu+Quinn
Connecticut,7,55,35,,Jul 02,7,,,,,,,Resea+Rasmu+Quinn
D.C.,3,90,9,,Jan 01,3,,,,,,,Election 2004
Delaware,3,50,41,,Feb 28,,3,,,,,,SurveyUSA-3
Florida,27,46,46,,Jul 22,,,,27,,,,Rasmu+ARG-3
Georgia,15,39,48,,Jul 17,,,,,,15,,Rasmussen-1
Hawaii,4,61,31,,Feb 28,4,,,,,,,SurveyUSA-3
Idaho,4,39,52,,Feb 28,,,,,,,4,SurveyUSA-3
Illinois,21,50,37,,Jul 08,21,,,,,,,Rasmussen-1
Indiana,11,48,47,,Jun 23,,,11,,,,,SurveyUSA-3
Iowa,7,51,41,,Jul 10,7,,,,,,,Rasmussen-1
Kansas,6,32,52,,Jul 14,,,,,,,6,Rasmussen-1
Kentucky,8,35,51,,Jun 25,,,,,,,8,Rasmussen-1
Louisiana,9,37,56,,Jul 09,,,,,,,9,Rasmussen-1
Maine,4,46,36,,Jul 17,4,,,,,,,Rasmussen-1
Maryland,10,52,39,,Feb 28,10,,,,,,,Surve+Gonza
Massachusetts,12,53,37,,Jun 30,12,,,,,,,Rasmu+Surve
Michigan,17,45,42,,Jul 22,,,17,,,,,Quinn+EPIC-
Minnesota,10,48,41,,Jul 22,,10,,,,,,Rasmu+Quinn
Mississippi,6,42,51,,Jul 23,,,,,,6,,Research 2000-3
Missouri,11,45,45,,Jul 10,,,,11,,,,Resea+Rasmu
Montana,3,48,43,,Jul 01,,3,,,,,,Rasmussen-1
Nebraska,5,36,52,,Jun 23,,,,,,,5,Rasmussen-1
Nevada,5,42,40,,Jul 16,,,5,,,,,Rasmussen-1
New Hampshire,4,47,43,,Jul 23,,,4,,,,,Rasmu+ARG-3
New Jersey,15,50,36,,Jul 21,15,,,,,,,Monmouth U.-5
New Mexico,5,46,41,,Jul 24,,5,,,,,,Rasmussen-1
New York,31,50,37,,Jul 10,31,,,,,,,Siena Coll.-4
North Carolina,15,44,48,,Jul 15,,,,,15,,,Rasmu+Surve
North Dakota,3,42,45,,Jul 23,,,,,3,,,Research 2000-3
Ohio,20,40,46,,Jul 21,,,,,,20,,Rasmussen-1
Oklahoma,7,38,52,,Jun 11,,,,,,,7,Research 2000-3
Oregon,7,46,37,,Jul 16,,7,,,,,,Rasmussen-1
Pennsylvania,21,47,42,,Jul 23,,21,,,,,,Rasmussen-1
Rhode Island,4,55,31,,Jun 30,4,,,,,,,Rasmussen-1
South Carolina,8,40,53,,Jul 23,,,,,,,8,Research 2000-2
South Dakota,3,43,47,,Jul 09,,,,,3,,,Rasmussen-1
Tennessee,11,36,51,,Jun 24,,,,,,,11,Rasmussen-1
Texas,34,39,48,,Jun 25,,,,,,34,,Rasmussen-1
Utah,5,31,55,,Jun 19,,,,,,,5,Rasmu+Dan J
Vermont,3,63,29,,Feb 28,3,,,,,,,SurveyUSA-3
Virginia,13,44,44,,Jul 16,,,,13,,,,Rasmussen-1
Washington,11,53,41,,Jul 15,11,,,,,,,Surve+Rasmu
West Virginia,5,37,45,,Jun 02,,,,,,5,,Rasmussen-1
Wisconsin,10,50,39,,Jul 22,10,,,,,,,Quinnipiac U.-9
Wyoming,3,40,53,,May 21,,,,,,,3,Research 2000-2
,,,,,Sums,197,49,46,51,21,83,91
